,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
1,0,ADULT,31,22,25 to 34 years,S7,Sunset,April,2016.0,z,email,True,2010,False,4.0
4,0,ADULT,126,11,45 to 54 years,M2,Marina,January,2016.0,z,email,True,2003,False,2.0
6,0,ADULT,3002,1689,25 to 34 years,P5,Portola,July,2016.0,p,phone,True,2004,False,9.0
7,0,ADULT,4,0,25 to 34 years,C2,Chinatown,July,2014.0,p,phone,True,2014,False,5.0
8,0,ADULT,20,0,25 to 34 years,S7,Sunset,June,2015.0,z,email,True,2011,False,7.0
10,0,ADULT,102,31,25 to 34 years,M6,Mission,June,2012.0,z,email,True,2009,False,9.0
12,0,ADULT,45,11,25 to 34 years,P3,Parkside,May,2016.0,z,email,True,2013,False,4.0
13,0,ADULT,88,64,35 to 44 years,A5,Anza,July,2016.0,z,email,True,2011,False,1.0
14,0,ADULT,22,6,45 to 54 years,M2,Marina,May,2016.0,z,email,True,2010,False,2.0
17,0,ADULT,5,1,25 to 34 years,A5,Anza,January,2012.0,z,email,True,2009,False,1.0
23,0,ADULT,12,0,45 to 54 years,S7,Sunset,June,2014.0,z,email,True,2009,False,4.0
32,0,ADULT,1989,3146,45 to 54 years,M6,Mission,May,2016.0,z,email,True,2003,False,8.0
33,0,ADULT,66,12,55 to 59 years,M2,Marina,July,2016.0,z,email,True,2009,False,2.0
34,3,SENIOR,29,0,65 to 74 years,O7,Ortega,July,2016.0,p,phone,False,2015,False,4.0
35,0,ADULT,322,316,35 to 44 years,P1,Park,July,2016.0,z,email,True,2006,False,5.0
36,0,ADULT,101,0,45 to 54 years,X,Main Library,February,2014.0,z,email,True,2013,False,5.0
38,0,ADULT,25,1,45 to 54 years,P1,Park,August,2011.0,z,email,True,2009,False,5.0
40,0,ADULT,2,0,35 to 44 years,P3,Parkside,July,2012.0,z,email,True,2012,False,4.0
44,0,ADULT,79,40,60 to 64 years,O7,Ortega,June,2012.0,z,email,True,2003,False,4.0
45,0,ADULT,47,16,25 to 34 years,M4,Merced,June,2016.0,p,phone,False,2010,False,11.0
46,0,ADULT,12,0,25 to 34 years,M2,Marina,October,2013.0,p,phone,False,2012,False,1.0
47,0,ADULT,4,1,25 to 34 years,M4,Merced,April,2015.0,z,email,True,2012,False,4.0
51,0,ADULT,3,0,25 to 34 years,A5,Anza,August,2014.0,z,email,True,2012,False,4.0
53,0,ADULT,5,0,25 to 34 years,O7,Ortega,July,2016.0,z,email,True,2015,False,4.0
58,0,ADULT,11,1,60 to 64 years,O7,Ortega,March,2014.0,p,phone,False,2013,False,7.0
59,0,ADULT,6,0,25 to 34 years,P5,Portola,June,2013.0,a,print,False,2011,False,9.0
60,0,ADULT,408,75,45 to 54 years,S7,Sunset,July,2016.0,z,email,True,2009,False,7.0
61,0,ADULT,297,87,35 to 44 years,S7,Sunset,July,2016.0,z,email,True,2003,False,7.0
62,3,SENIOR,193,90,65 to 74 years,A5,Anza,July,2016.0,z,email,True,2007,False,1.0
67,4,WELCOME,1,0,25 to 34 years,X,Main Library,May,2016.0,z,email,True,2016,False,9.0
71,0,ADULT,9,0,45 to 54 years,S7,Sunset,June,2013.0,z,email,True,2013,False,4.0
72,0,ADULT,31,46,45 to 54 years,P1,Park,January,2014.0,z,email,True,2011,False,5.0
73,0,ADULT,153,101,35 to 44 years,O7,Ortega,June,2016.0,z,email,True,2003,False,4.0
74,0,ADULT,657,373,35 to 44 years,M4,Merced,July,2016.0,z,email,True,2011,False,4.0
75,0,ADULT,1,0,60 to 64 years,A5,Anza,June,2015.0,p,phone,False,2015,False,1.0
76,0,ADULT,91,0,45 to 54 years,M2,Marina,January,2016.0,a,print,False,2003,False,6.0
80,0,ADULT,35,0,25 to 34 years,M6,Mission,May,2016.0,z,email,True,2016,False,8.0
83,0,ADULT,33,3,35 to 44 years,M2,Marina,June,2014.0,z,email,True,2008,False,5.0
84,0,ADULT,27,20,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2005,False,8.0
92,0,ADULT,0,0,25 to 34 years,E9,Excelsior,March,2015.0,a,print,False,2015,False,6.0
93,0,ADULT,429,0,45 to 54 years,M4,Merced,August,2014.0,p,phone,True,2012,False,11.0
94,4,WELCOME,1,0,35 to 44 years,P9,Presidio,July,2015.0,z,email,True,2015,False,2.0
97,0,ADULT,160,44,25 to 34 years,R3,Richmond,May,2015.0,z,email,True,2003,False,1.0
99,0,ADULT,40,0,45 to 54 years,O7,Ortega,April,2015.0,p,phone,True,2003,False,4.0
100,0,ADULT,51,0,45 to 54 years,M6,Mission,August,2015.0,p,phone,False,2003,False,9.0
101,0,ADULT,77,27,35 to 44 years,M6,Mission,July,2016.0,z,email,True,2012,False,8.0
103,0,ADULT,1,0,60 to 64 years,N6,North Beach,June,2016.0,z,email,True,2016,False,3.0
107,0,ADULT,51,0,45 to 54 years,M4,Merced,July,2016.0,z,email,True,2014,False,7.0
108,4,WELCOME,1,0,25 to 34 years,M6,Mission,April,2014.0,z,email,True,2014,False,9.0
109,0,ADULT,110,53,20 to 24 years,M4,Merced,June,2016.0,z,email,True,2011,False,11.0
110,0,ADULT,5,1,35 to 44 years,I5,Ingleside,July,2015.0,z,email,True,2003,False,11.0
111,0,ADULT,6,2,25 to 34 years,P1,Park,June,2016.0,z,email,True,2014,False,5.0
112,0,ADULT,319,421,55 to 59 years,P1,Park,May,2015.0,z,email,True,2006,False,5.0
115,0,ADULT,342,209,35 to 44 years,M8,Mission Bay,October,2012.0,z,email,True,2004,False,6.0
116,0,ADULT,3,0,45 to 54 years,P7,Potrero,May,2012.0,z,email,True,2003,False,9.0
117,0,ADULT,45,3,45 to 54 years,X,Main Library,January,2015.0,z,email,True,2003,False,9.0
121,0,ADULT,2,0,25 to 34 years,S7,Sunset,January,2015.0,z,email,True,2010,False,4.0
122,0,ADULT,347,154,35 to 44 years,M6,Mission,July,2016.0,z,email,True,2009,False,2.0
125,0,ADULT,209,282,35 to 44 years,R3,Richmond,June,2016.0,z,email,True,2003,False,1.0
127,15,TEACHER CARD,215,108,45 to 54 years,P5,Portola,June,2016.0,z,email,True,2014,False,7.0
130,0,ADULT,23,0,25 to 34 years,A5,Anza,April,2015.0,z,email,True,2012,False,6.0
133,0,ADULT,0,0,25 to 34 years,X,Main Library,May,2016.0,a,print,True,2012,False,8.0
134,0,ADULT,118,45,35 to 44 years,P7,Potrero,July,2015.0,z,email,True,2013,False,3.0
141,0,ADULT,4,12,55 to 59 years,A5,Anza,January,2016.0,z,email,True,2015,False,1.0
142,0,ADULT,28,15,45 to 54 years,S7,Sunset,June,2016.0,z,email,True,2010,False,4.0
144,0,ADULT,43,108,45 to 54 years,W2,West Portal,January,2011.0,z,email,True,2003,False,7.0
145,0,ADULT,69,1,25 to 34 years,M6,Mission,May,2010.0,z,email,True,2004,False,5.0
146,4,WELCOME,1,0,35 to 44 years,P1,Park,March,2015.0,z,email,True,2015,False,5.0
148,0,ADULT,1,0,55 to 59 years,R3,Richmond,June,2015.0,z,email,True,2015,False,1.0
150,0,ADULT,30,2,25 to 34 years,P1,Park,August,2015.0,z,email,True,2014,False,5.0
151,0,ADULT,10,0,55 to 59 years,X,Main Library,August,2015.0,z,email,True,2015,False,5.0
152,0,ADULT,63,70,45 to 54 years,M2,Marina,July,2016.0,z,email,True,2005,False,5.0
153,0,ADULT,6,0,20 to 24 years,M4,Merced,April,2014.0,z,email,True,2014,False,7.0
154,0,ADULT,280,249,45 to 54 years,O7,Ortega,June,2016.0,z,email,True,2005,False,4.0
157,0,ADULT,3,0,25 to 34 years,S7,Sunset,May,2015.0,z,email,True,2010,False,1.0
158,0,ADULT,2,0,35 to 44 years,S7,Sunset,July,2016.0,z,email,True,2015,False,8.0
162,0,ADULT,753,898,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2003,False,8.0
163,0,ADULT,29,19,35 to 44 years,S7,Sunset,March,2013.0,z,email,True,2012,False,5.0
166,0,ADULT,131,15,45 to 54 years,S7,Sunset,June,2016.0,z,email,True,2004,False,7.0
168,0,ADULT,29,0,25 to 34 years,M6,Mission,March,2016.0,z,email,True,2016,False,10.0
169,0,ADULT,132,3,55 to 59 years,M4,Merced,July,2014.0,p,phone,False,2003,False,9.0
170,0,ADULT,76,20,20 to 24 years,O7,Ortega,May,2014.0,p,phone,False,2007,False,4.0
171,0,ADULT,108,91,45 to 54 years,S7,Sunset,June,2016.0,z,email,True,2010,False,5.0
172,0,ADULT,262,34,20 to 24 years,O7,Ortega,April,2016.0,p,phone,False,2003,False,4.0
178,0,ADULT,6,0,25 to 34 years,M6,Mission,March,2015.0,z,email,True,2014,False,8.0
182,0,ADULT,16,0,35 to 44 years,R3,Richmond,April,2016.0,z,email,True,2010,False,7.0
183,0,ADULT,7,7,25 to 34 years,R3,Richmond,May,2014.0,z,email,True,2009,False,1.0
184,0,ADULT,3,3,25 to 34 years,M6,Mission,May,2014.0,z,email,True,2014,False,6.0
186,0,ADULT,190,19,45 to 54 years,P1,Park,July,2016.0,z,email,True,2008,False,5.0
196,0,ADULT,8,6,25 to 34 years,O7,Ortega,June,2016.0,z,email,True,2015,False,4.0
197,0,ADULT,350,70,55 to 59 years,M4,Merced,July,2016.0,z,email,True,2012,False,7.0
202,0,ADULT,16,6,35 to 44 years,R3,Richmond,January,2015.0,z,email,True,2008,False,11.0
207,0,ADULT,75,47,25 to 34 years,A5,Anza,July,2016.0,z,email,True,2009,False,5.0
208,0,ADULT,13,7,20 to 24 years,M6,Mission,June,2016.0,z,email,True,2013,False,3.0
209,0,ADULT,67,7,55 to 59 years,S7,Sunset,July,2016.0,z,email,True,2003,False,4.0
211,0,ADULT,77,33,25 to 34 years,M4,Merced,June,2013.0,z,email,True,2008,False,7.0
212,0,ADULT,1805,261,20 to 24 years,R3,Richmond,December,2013.0,z,email,True,2003,False,1.0
218,0,ADULT,21,18,25 to 34 years,P9,Presidio,May,2014.0,z,email,True,2010,False,7.0
219,0,ADULT,1,0,20 to 24 years,M6,Mission,February,2015.0,p,phone,True,2015,False,9.0
223,0,ADULT,8,9,25 to 34 years,M6,Mission,May,2014.0,z,email,True,2010,False,9.0
224,0,ADULT,463,775,35 to 44 years,M2,Marina,June,2014.0,z,email,True,2003,False,2.0
225,0,ADULT,2041,1097,60 to 64 years,N6,North Beach,July,2016.0,z,email,True,2003,False,3.0
226,0,ADULT,19,0,45 to 54 years,M6,Mission,July,2014.0,p,phone,False,2003,False,9.0
227,0,ADULT,107,87,25 to 34 years,O7,Ortega,July,2016.0,z,email,True,2003,False,4.0
228,0,ADULT,8,13,25 to 34 years,M4,Merced,July,2016.0,p,phone,False,2014,False,7.0
229,0,ADULT,2,2,45 to 54 years,P9,Presidio,January,2015.0,z,email,True,2014,False,2.0
231,0,ADULT,43,35,45 to 54 years,M6,Mission,May,2016.0,z,email,True,2005,False,8.0
233,0,ADULT,3,0,25 to 34 years,M6,Mission,July,2013.0,z,email,True,2010,False,9.0
234,0,ADULT,10,0,35 to 44 years,O7,Ortega,March,2014.0,a,print,False,2008,False,1.0
240,0,ADULT,5,0,20 to 24 years,P1,Park,September,2013.0,z,email,True,2013,False,5.0
243,0,ADULT,53,72,35 to 44 years,X,Main Library,November,2013.0,z,email,True,2008,False,5.0
248,0,ADULT,130,108,35 to 44 years,M6,Mission,May,2016.0,p,phone,False,2010,False,9.0
249,0,ADULT,21,6,25 to 34 years,S7,Sunset,June,2015.0,z,email,True,2012,False,7.0
250,0,ADULT,118,62,25 to 34 years,O7,Ortega,March,2015.0,z,email,True,2003,False,4.0
251,0,ADULT,48,10,45 to 54 years,S7,Sunset,February,2015.0,z,email,True,2003,False,1.0
253,0,ADULT,6,1,25 to 34 years,M2,Marina,May,2015.0,z,email,True,2009,False,2.0
254,0,ADULT,26,12,25 to 34 years,M6,Mission,June,2016.0,z,email,True,2013,False,9.0
258,0,ADULT,147,24,60 to 64 years,M4,Merced,July,2016.0,z,email,True,2003,False,7.0
259,0,ADULT,3,0,25 to 34 years,M4,Merced,June,2016.0,z,email,True,2015,False,10.0
260,3,SENIOR,341,212,65 to 74 years,P1,Park,July,2016.0,z,email,True,2003,False,5.0
264,0,ADULT,130,75,25 to 34 years,E9,Excelsior,July,2016.0,z,email,True,2013,False,11.0
265,0,ADULT,1,0,25 to 34 years,M6,Mission,May,2016.0,z,email,True,2016,False,9.0
270,0,ADULT,1,0,25 to 34 years,C2,Chinatown,July,2015.0,z,email,True,2015,False,3.0
277,0,ADULT,15,1,35 to 44 years,X,Main Library,February,2015.0,z,email,True,2003,False,5.0
278,0,ADULT,5,3,45 to 54 years,R3,Richmond,July,2014.0,z,email,True,2011,False,1.0
279,0,ADULT,22,0,45 to 54 years,X,Main Library,March,2014.0,z,email,True,2012,False,3.0
280,0,ADULT,6,0,45 to 54 years,A5,Anza,March,2016.0,z,email,True,2016,False,1.0
281,0,ADULT,568,26,45 to 54 years,R3,Richmond,June,2016.0,z,email,True,2003,False,7.0
283,1,JUVENILE,67,1,10 to 19 years,R3,Richmond,June,2014.0,p,phone,True,2010,False,5.0
284,0,ADULT,258,270,20 to 24 years,O7,Ortega,July,2014.0,z,email,True,2008,False,4.0
285,0,ADULT,8,0,35 to 44 years,X,Main Library,January,2014.0,z,email,True,2007,False,6.0
286,0,ADULT,88,11,65 to 74 years,M2,Marina,July,2016.0,z,email,True,2010,False,2.0
289,1,JUVENILE,20,0,0 to 9 years,E9,Excelsior,July,2016.0,z,email,True,2016,False,11.0
291,1,JUVENILE,53,31,0 to 9 years,A5,Anza,June,2013.0,z,email,True,2012,False,1.0
292,1,JUVENILE,1,0,0 to 9 years,O7,Ortega,June,2014.0,z,email,True,2014,False,5.0
294,3,SENIOR,67,26,75 years and over,P5,Portola,July,2016.0,z,email,True,2009,False,9.0
296,1,JUVENILE,91,62,0 to 9 years,V3,Visitacion Valley,August,2015.0,z,email,True,2011,False,10.0
299,0,ADULT,12,13,35 to 44 years,M6,Mission,July,2016.0,z,email,True,2012,False,9.0
300,1,JUVENILE,12,0,0 to 9 years,M4,Merced,May,2016.0,p,phone,False,2015,False,7.0
303,0,ADULT,86,0,35 to 44 years,C2,Chinatown,July,2016.0,p,phone,True,2003,False,3.0
306,1,JUVENILE,45,7,0 to 9 years,P9,Presidio,July,2016.0,z,email,True,2015,False,2.0
307,0,ADULT,14,14,45 to 54 years,G4,Glen Park,April,2016.0,z,email,True,2003,False,8.0
310,0,ADULT,882,394,55 to 59 years,O7,Ortega,July,2016.0,z,email,True,2003,False,4.0
311,1,JUVENILE,21,0,10 to 19 years,O7,Ortega,February,2015.0,p,phone,False,2008,False,4.0
313,0,ADULT,54,2,10 to 19 years,M6,Mission,April,2015.0,z,email,True,2003,False,10.0
316,1,JUVENILE,12,1,0 to 9 years,P1,Park,July,2016.0,z,email,True,2015,False,8.0
318,1,JUVENILE,11,6,0 to 9 years,S7,Sunset,November,2014.0,z,email,True,2014,False,5.0
319,0,ADULT,773,150,10 to 19 years,P5,Portola,July,2016.0,z,email,True,2006,False,9.0
320,1,JUVENILE,5,0,0 to 9 years,M2,Marina,May,2016.0,z,email,True,2016,False,2.0
321,0,ADULT,82,40,10 to 19 years,P9,Presidio,May,2016.0,z,email,True,2003,False,2.0
323,0,ADULT,97,7,10 to 19 years,S7,Sunset,July,2013.0,p,phone,False,2003,False,5.0
324,1,JUVENILE,8,0,0 to 9 years,E9,Excelsior,June,2016.0,p,phone,False,2016,False,11.0
330,0,ADULT,180,349,10 to 19 years,S7,Sunset,July,2016.0,z,email,True,2013,False,4.0
331,2,YOUNG ADULT,38,0,10 to 19 years,R3,Richmond,June,2016.0,z,email,True,2009,False,2.0
332,1,JUVENILE,542,36,0 to 9 years,O7,Ortega,April,2016.0,z,email,True,2013,False,4.0
334,1,JUVENILE,0,0,0 to 9 years,M6,Mission,June,2015.0,z,email,True,2015,False,9.0
335,1,JUVENILE,77,0,0 to 9 years,O7,Ortega,July,2016.0,z,email,True,2013,False,4.0
336,1,JUVENILE,8,0,0 to 9 years,I5,Ingleside,May,2016.0,z,email,True,2014,False,11.0
337,3,SENIOR,596,82,75 years and over,O7,Ortega,May,2016.0,p,phone,False,2003,False,4.0
338,3,SENIOR,4,0,75 years and over,A5,Anza,September,2015.0,z,email,True,2015,False,1.0
340,1,JUVENILE,2,0,0 to 9 years,O7,Ortega,July,2016.0,z,email,True,2016,False,7.0
342,1,JUVENILE,728,5,0 to 9 years,A5,Anza,July,2016.0,z,email,True,2008,False,1.0
343,0,ADULT,17,9,45 to 54 years,S7,Sunset,June,2014.0,z,email,True,2011,False,5.0
344,1,JUVENILE,2,0,0 to 9 years,O7,Ortega,June,2014.0,z,email,True,2014,False,4.0
346,1,JUVENILE,5,0,0 to 9 years,P3,Parkside,January,2016.0,p,phone,False,2015,False,4.0
347,1,JUVENILE,1,0,0 to 9 years,A5,Anza,May,2016.0,z,email,True,2015,False,1.0
349,1,JUVENILE,84,1,0 to 9 years,P3,Parkside,July,2016.0,z,email,True,2009,False,4.0
350,1,JUVENILE,66,1,10 to 19 years,M6,Mission,March,2016.0,z,email,True,2012,False,10.0
351,3,SENIOR,237,3,75 years and over,S7,Sunset,February,2014.0,z,email,True,2003,False,5.0
352,1,JUVENILE,39,0,0 to 9 years,S7,Sunset,July,2013.0,z,email,True,2012,False,7.0
356,0,ADULT,1055,295,10 to 19 years,O7,Ortega,June,2016.0,p,phone,True,2009,False,7.0
358,0,ADULT,7,0,65 to 74 years,S7,Sunset,April,2016.0,z,email,True,2014,False,3.0
359,2,YOUNG ADULT,99,40,10 to 19 years,X,Main Library,February,2014.0,z,email,True,2007,False,9.0
360,0,ADULT,114,37,10 to 19 years,A5,Anza,July,2014.0,z,email,True,2003,False,1.0
361,1,JUVENILE,42,0,0 to 9 years,N6,North Beach,April,2016.0,z,email,True,2015,False,3.0
364,1,JUVENILE,3,0,0 to 9 years,N6,North Beach,October,2014.0,a,print,False,2014,False,3.0
365,1,JUVENILE,19,0,10 to 19 years,P1,Park,May,2016.0,z,email,True,2011,False,4.0
366,0,ADULT,17,10,25 to 34 years,A5,Anza,March,2016.0,z,email,True,2011,False,1.0
372,1,JUVENILE,10,0,0 to 9 years,S7,Sunset,July,2016.0,z,email,True,2009,False,2.0
373,2,YOUNG ADULT,59,16,10 to 19 years,M6,Mission,June,2016.0,p,phone,False,2006,False,9.0
376,1,JUVENILE,89,6,0 to 9 years,P7,Potrero,June,2016.0,z,email,True,2015,False,10.0
377,0,ADULT,468,6,10 to 19 years,O7,Ortega,April,2014.0,p,phone,False,2008,False,7.0
378,0,ADULT,9,5,45 to 54 years,N6,North Beach,October,2015.0,z,email,True,2014,False,3.0
380,0,ADULT,8,16,10 to 19 years,P9,Presidio,May,2015.0,z,email,True,2014,False,2.0
381,1,JUVENILE,97,0,0 to 9 years,P1,Park,July,2016.0,z,email,True,2016,False,5.0
382,1,JUVENILE,1224,148,10 to 19 years,M4,Merced,June,2016.0,z,email,True,2009,False,1.0
384,1,JUVENILE,7,0,0 to 9 years,O7,Ortega,July,2016.0,z,email,True,2016,False,4.0
387,1,JUVENILE,569,34,10 to 19 years,M4,Merced,July,2016.0,z,email,True,2011,False,11.0
388,1,JUVENILE,3,0,0 to 9 years,S7,Sunset,June,2016.0,z,email,True,2016,False,4.0
389,3,SENIOR,893,411,75 years and over,M2,Marina,July,2016.0,p,phone,True,2003,False,2.0
391,0,ADULT,61,3,20 to 24 years,M4,Merced,April,2016.0,z,email,True,2008,False,7.0
392,0,ADULT,10,1,10 to 19 years,M2,Marina,June,2014.0,z,email,True,2012,False,2.0
393,3,SENIOR,18,0,75 years and over,M2,Marina,July,2016.0,z,email,True,2013,False,2.0
395,0,ADULT,330,7,20 to 24 years,A5,Anza,May,2016.0,z,email,True,2005,False,1.0
399,1,JUVENILE,17,0,10 to 19 years,M2,Marina,March,2015.0,z,email,True,2012,False,2.0
400,0,ADULT,4,0,55 to 59 years,P5,Portola,April,2015.0,z,email,True,2009,False,10.0
402,1,JUVENILE,483,81,10 to 19 years,O7,Ortega,July,2016.0,p,phone,False,2011,False,11.0
404,1,JUVENILE,8,0,10 to 19 years,X,Main Library,May,2016.0,z,email,True,2014,False,6.0
408,1,JUVENILE,160,145,0 to 9 years,A5,Anza,July,2016.0,z,email,True,2013,False,1.0
409,0,ADULT,7,0,10 to 19 years,P3,Parkside,May,2015.0,p,phone,False,2008,False,7.0
413,1,JUVENILE,11,0,0 to 9 years,P1,Park,June,2014.0,z,email,True,2014,False,5.0
414,0,ADULT,89,1,35 to 44 years,P5,Portola,July,2016.0,z,email,True,2015,False,9.0
415,1,JUVENILE,52,0,0 to 9 years,A5,Anza,May,2013.0,z,email,True,2011,False,1.0
421,1,JUVENILE,1996,701,0 to 9 years,I5,Ingleside,July,2016.0,z,email,True,2010,False,7.0
423,0,ADULT,13,1,25 to 34 years,A5,Anza,May,2016.0,p,phone,False,2003,False,7.0
424,0,ADULT,7,0,10 to 19 years,M6,Mission,July,2016.0,z,email,True,2015,False,9.0
426,1,JUVENILE,46,72,0 to 9 years,A5,Anza,July,2016.0,z,email,True,2010,False,1.0
430,1,JUVENILE,13,0,0 to 9 years,P1,Park,June,2014.0,z,email,True,2014,False,5.0
431,1,JUVENILE,79,30,0 to 9 years,M4,Merced,June,2016.0,p,phone,False,2014,False,8.0
433,1,JUVENILE,61,0,0 to 9 years,I5,Ingleside,December,2014.0,p,phone,False,2012,False,11.0
435,0,ADULT,587,432,45 to 54 years,O7,Ortega,July,2016.0,z,email,True,2003,False,4.0
437,1,JUVENILE,107,1,0 to 9 years,P5,Portola,July,2016.0,z,email,True,2014,False,3.0
442,1,JUVENILE,43,3,0 to 9 years,X,Main Library,May,2016.0,p,phone,False,2011,False,7.0
444,1,JUVENILE,15,0,0 to 9 years,P1,Park,July,2016.0,z,email,True,2016,False,5.0
449,1,JUVENILE,645,19,10 to 19 years,N6,North Beach,July,2016.0,p,phone,False,2006,False,3.0
450,0,ADULT,17,18,25 to 34 years,E9,Excelsior,July,2014.0,z,email,True,2009,False,11.0
451,3,SENIOR,246,66,65 to 74 years,G4,Glen Park,June,2016.0,z,email,True,2003,False,8.0
452,0,ADULT,1591,309,35 to 44 years,X,Main Library,March,2014.0,z,email,True,2003,False,3.0
453,0,ADULT,72,3,20 to 24 years,B2,Bayview/Linda Brooks-Burton,November,2014.0,z,email,True,2003,False,10.0
455,0,ADULT,211,65,35 to 44 years,S7,Sunset,July,2016.0,z,email,True,2003,False,4.0
456,0,ADULT,9,1,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2015,False,6.0
457,0,ADULT,157,68,35 to 44 years,I5,Ingleside,January,2016.0,a,print,False,2011,False,11.0
459,0,ADULT,12,0,25 to 34 years,N6,North Beach,September,2015.0,z,email,True,2015,False,3.0
460,0,ADULT,10,0,20 to 24 years,M6,Mission,September,2013.0,a,print,False,2003,False,11.0
463,0,ADULT,103,57,60 to 64 years,E9,Excelsior,June,2016.0,z,email,True,2003,False,11.0
464,0,ADULT,252,19,35 to 44 years,P3,Parkside,November,2015.0,a,print,False,2003,False,10.0
465,0,ADULT,1116,903,45 to 54 years,S7,Sunset,July,2016.0,z,email,True,2003,False,4.0
466,0,ADULT,8,0,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2016,False,3.0
467,0,ADULT,797,22,65 to 74 years,P7,Potrero,July,2016.0,z,email,True,2003,False,10.0
468,0,ADULT,293,210,25 to 34 years,M4,Merced,March,2016.0,z,email,True,2003,False,5.0
471,0,ADULT,249,239,35 to 44 years,G4,Glen Park,July,2016.0,z,email,True,2003,False,8.0
474,0,ADULT,1716,1996,55 to 59 years,M4,Merced,July,2016.0,z,email,True,2003,False,7.0
475,0,ADULT,32,16,55 to 59 years,C2,Chinatown,March,2015.0,a,print,False,2003,False,11.0
477,4,WELCOME,1,0,20 to 24 years,P9,Presidio,July,2013.0,p,phone,False,2013,False,1.0
480,0,ADULT,11,6,25 to 34 years,N4,Noe Valley/Sally Brunn,February,2016.0,z,email,True,2014,False,8.0
483,0,ADULT,30,0,35 to 44 years,C2,Chinatown,August,2013.0,z,email,True,2009,False,10.0
484,0,ADULT,129,8,45 to 54 years,X,Main Library,August,2013.0,z,email,True,2006,False,5.0
486,0,ADULT,40,28,35 to 44 years,P1,Park,July,2016.0,z,email,True,2003,False,10.0
487,0,ADULT,43,0,25 to 34 years,I5,Ingleside,November,2013.0,z,email,True,2012,False,7.0
490,0,ADULT,39,7,35 to 44 years,N4,Noe Valley/Sally Brunn,October,2015.0,z,email,True,2003,False,8.0
491,0,ADULT,2,0,45 to 54 years,R3,Richmond,April,2014.0,z,email,True,2012,False,1.0
492,0,ADULT,5,0,20 to 24 years,X,Main Library,March,2016.0,z,email,True,2016,False,6.0
493,0,ADULT,3072,1391,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2003,False,2.0
494,0,ADULT,2,0,25 to 34 years,M6,Mission,March,2013.0,z,email,True,2012,False,9.0
496,0,ADULT,3,3,35 to 44 years,X,Main Library,December,2015.0,z,email,True,2014,False,3.0
497,0,ADULT,265,74,55 to 59 years,I5,Ingleside,July,2016.0,z,email,True,2003,False,7.0
498,0,ADULT,1991,2811,45 to 54 years,P3,Parkside,July,2016.0,z,email,True,2003,False,4.0
499,0,ADULT,23,21,60 to 64 years,A5,Anza,May,2014.0,z,email,True,2012,False,1.0
501,0,ADULT,676,829,35 to 44 years,R3,Richmond,July,2016.0,z,email,True,2003,False,1.0
504,0,ADULT,1667,1362,35 to 44 years,I5,Ingleside,May,2016.0,z,email,True,2003,False,11.0
506,0,ADULT,24,2,35 to 44 years,R3,Richmond,December,2014.0,z,email,True,2011,False,1.0
509,0,ADULT,2,0,25 to 34 years,A5,Anza,May,2016.0,p,phone,False,2016,False,1.0
510,0,ADULT,36,0,25 to 34 years,X,Main Library,May,2015.0,z,email,True,2014,False,5.0
511,0,ADULT,21,0,55 to 59 years,M2,Marina,December,2015.0,z,email,True,2009,False,2.0
512,0,ADULT,1136,3224,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2003,False,9.0
513,3,SENIOR,105,89,65 to 74 years,O7,Ortega,October,2014.0,z,email,True,2003,False,4.0
514,0,ADULT,5,0,35 to 44 years,P3,Parkside,September,2013.0,z,email,True,2013,False,7.0
515,0,ADULT,336,254,55 to 59 years,X,Main Library,March,2016.0,p,phone,True,2003,False,5.0
516,3,SENIOR,448,12,65 to 74 years,M2,Marina,July,2010.0,z,email,True,2003,False,2.0
517,0,ADULT,33,0,20 to 24 years,P1,Park,July,2016.0,z,email,True,2016,False,5.0
519,0,ADULT,2,0,25 to 34 years,P3,Parkside,November,2014.0,z,email,True,2014,False,4.0
520,0,ADULT,18,0,20 to 24 years,S7,Sunset,May,2010.0,z,email,True,2003,False,8.0
522,0,ADULT,4,0,45 to 54 years,X,Main Library,April,2016.0,z,email,True,2013,False,9.0
523,0,ADULT,319,180,45 to 54 years,W2,West Portal,August,2015.0,z,email,True,2003,False,7.0
524,0,ADULT,164,43,35 to 44 years,M6,Mission,January,2014.0,z,email,True,2005,False,8.0
526,0,ADULT,2,0,25 to 34 years,P5,Portola,December,2007.0,p,phone,False,2007,False,10.0
527,0,ADULT,26,0,45 to 54 years,S7,Sunset,January,2014.0,z,email,True,2011,False,4.0
528,0,ADULT,2,1,25 to 34 years,P1,Park,July,2016.0,z,email,True,2016,False,5.0
531,0,ADULT,20,8,35 to 44 years,P9,Presidio,November,2013.0,p,phone,False,2003,False,5.0
533,0,ADULT,54,12,35 to 44 years,E9,Excelsior,April,2016.0,z,email,True,2003,False,11.0
