,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
4367,0,ADULT,99,0,45 to 54 years,M2,Marina,January,2014.0,z,email,True,2009,False,2.0
4370,0,ADULT,11,0,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,December,2012.0,z,email,True,2006,False,5.0
4372,0,ADULT,141,0,60 to 64 years,V3,Visitacion Valley,February,2016.0,a,print,False,2014,False,10.0
4373,0,ADULT,1,2,20 to 24 years,P3,Parkside,October,2014.0,z,email,True,2013,False,4.0
4374,0,ADULT,44,6,35 to 44 years,N6,North Beach,July,2014.0,z,email,True,2010,False,11.0
4375,0,ADULT,72,91,20 to 24 years,A5,Anza,May,2014.0,a,print,False,2012,False,1.0
4377,0,ADULT,3,3,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2014,False,3.0
4378,0,ADULT,81,10,25 to 34 years,O7,Ortega,July,2016.0,z,email,True,2010,False,4.0
4380,0,ADULT,36,1,20 to 24 years,I5,Ingleside,April,2016.0,p,phone,True,2010,False,9.0
4381,0,ADULT,79,11,45 to 54 years,G6,Golden Gate Valley,May,2015.0,z,email,True,2009,False,1.0
4382,0,ADULT,0,0,55 to 59 years,M6,Mission,September,2015.0,z,email,True,2015,False,9.0
4384,0,ADULT,282,52,45 to 54 years,P5,Portola,March,2012.0,p,phone,False,2003,False,10.0
4386,3,SENIOR,1,0,65 to 74 years,X,Main Library,May,2016.0,p,phone,True,2014,False,4.0
4387,0,ADULT,71,62,35 to 44 years,X,Main Library,September,2013.0,z,email,True,2004,False,5.0
4388,0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,November,2015.0,p,phone,False,2015,False,4.0
4389,0,ADULT,4,6,35 to 44 years,X,Main Library,April,2015.0,z,email,True,2010,False,6.0
4392,0,ADULT,10,0,25 to 34 years,X,Main Library,August,2014.0,z,email,True,2014,False,6.0
4393,0,ADULT,203,243,25 to 34 years,S7,Sunset,July,2016.0,z,email,True,2005,False,1.0
4394,0,ADULT,69,78,35 to 44 years,O7,Ortega,February,2016.0,z,email,True,2015,True,11.0
4396,0,ADULT,6,6,35 to 44 years,X,Main Library,February,2016.0,z,email,True,2015,False,6.0
4398,0,ADULT,13,22,35 to 44 years,G4,Glen Park,July,2016.0,z,email,True,2014,False,8.0
4399,0,ADULT,1,0,25 to 34 years,X,Main Library,September,2015.0,z,email,True,2015,False,6.0
4400,0,ADULT,365,40,45 to 54 years,M2,Marina,May,2016.0,z,email,True,2008,False,2.0
4402,15,TEACHER CARD,104,7,45 to 54 years,V3,Visitacion Valley,October,2015.0,z,email,True,2014,False,9.0
4404,4,WELCOME,2,8,20 to 24 years,V3,Visitacion Valley,December,2013.0,z,email,True,2013,False,10.0
4405,0,ADULT,3,3,60 to 64 years,A5,Anza,June,2014.0,p,phone,False,2014,False,1.0
4408,3,SENIOR,569,233,65 to 74 years,R3,Richmond,July,2016.0,a,print,False,2003,False,1.0
4412,0,ADULT,2,1,20 to 24 years,X,Main Library,May,2013.0,z,email,True,2013,False,6.0
4413,0,ADULT,174,56,25 to 34 years,W4,Western Addition,November,2013.0,p,phone,False,2013,False,2.0
4414,0,ADULT,220,231,45 to 54 years,A5,Anza,January,2010.0,z,email,True,2003,False,1.0
4417,0,ADULT,14,0,25 to 34 years,X,Main Library,June,2015.0,p,phone,True,2015,False,6.0
4419,0,ADULT,43,1,25 to 34 years,X,Main Library,October,2015.0,p,phone,False,2008,False,11.0
4421,0,ADULT,197,249,25 to 34 years,C2,Chinatown,July,2016.0,z,email,True,2012,False,3.0
4424,0,ADULT,10,0,45 to 54 years,P3,Parkside,September,2012.0,p,phone,False,2003,False,10.0
4425,0,ADULT,1,3,55 to 59 years,C2,Chinatown,January,2013.0,z,email,True,2012,False,3.0
4427,0,ADULT,237,64,45 to 54 years,A5,Anza,August,2015.0,z,email,True,2003,False,1.0
4429,0,ADULT,228,0,45 to 54 years,X,Main Library,March,2016.0,z,email,True,2013,False,4.0
4431,0,ADULT,100,0,25 to 34 years,V3,Visitacion Valley,May,2016.0,p,phone,False,2014,False,10.0
4432,0,ADULT,31,71,55 to 59 years,W2,West Portal,May,2015.0,p,phone,False,2010,False,7.0
4433,0,ADULT,6,8,25 to 34 years,X,Main Library,August,2013.0,z,email,True,2013,False,5.0
4435,0,ADULT,78,15,25 to 34 years,W2,West Portal,June,2016.0,z,email,True,2003,False,3.0
4437,0,ADULT,120,2,25 to 34 years,X,Main Library,December,2014.0,p,phone,False,2013,False,3.0
4438,3,SENIOR,1101,46,65 to 74 years,O7,Ortega,July,2016.0,z,email,True,2011,False,7.0
4439,0,ADULT,101,160,35 to 44 years,R3,Richmond,November,2015.0,z,email,True,2009,False,1.0
4441,0,ADULT,118,17,25 to 34 years,R3,Richmond,June,2016.0,z,email,True,2013,False,2.0
4442,0,ADULT,4,0,55 to 59 years,N6,North Beach,July,2016.0,z,email,True,2016,False,3.0
4443,0,ADULT,1,0,45 to 54 years,M8,Mission Bay,April,2015.0,z,email,True,2015,False,6.0
4447,0,ADULT,57,48,45 to 54 years,P1,Park,June,2016.0,z,email,True,2009,False,11.0
4448,0,ADULT,14,0,35 to 44 years,O7,Ortega,July,2015.0,z,email,True,2007,False,4.0
4451,3,SENIOR,9,0,65 to 74 years,W2,West Portal,April,2016.0,z,email,True,2014,False,7.0
4453,4,WELCOME,1,0,25 to 34 years,R3,Richmond,April,2016.0,z,email,True,2016,False,1.0
4454,0,ADULT,12,0,25 to 34 years,C2,Chinatown,October,2015.0,z,email,True,2014,False,3.0
4455,3,SENIOR,113,6,65 to 74 years,C2,Chinatown,December,2014.0,a,print,False,2011,False,3.0
4456,0,ADULT,1,0,20 to 24 years,X,Main Library,September,2014.0,z,email,True,2010,False,10.0
4457,0,ADULT,2,0,20 to 24 years,I5,Ingleside,December,2013.0,z,email,True,2013,False,11.0
4459,0,ADULT,84,56,35 to 44 years,M6,Mission,September,2010.0,z,email,True,2003,False,9.0
4460,0,ADULT,6,10,25 to 34 years,O7,Ortega,June,2015.0,z,email,True,2012,False,4.0
4461,0,ADULT,15,24,20 to 24 years,E7,Eureka Valley/Harvey Milk Memorial,August,2013.0,z,email,True,2013,False,9.0
4464,0,ADULT,6,0,35 to 44 years,R3,Richmond,August,2014.0,z,email,True,2012,False,2.0
4465,0,ADULT,6,0,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2013,False,2.0
4466,0,ADULT,377,13,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2004,False,3.0
4467,0,ADULT,38,7,25 to 34 years,M6,Mission,July,2016.0,z,email,True,2015,False,9.0
4470,0,ADULT,1,0,25 to 34 years,V3,Visitacion Valley,April,2016.0,a,print,False,2016,False,11.0
4473,0,ADULT,100,10,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2013,False,5.0
4475,0,ADULT,168,6,45 to 54 years,X,Main Library,January,2016.0,z,email,True,2015,False,6.0
4476,0,ADULT,89,89,35 to 44 years,M8,Mission Bay,June,2014.0,z,email,True,2007,False,6.0
4477,0,ADULT,17,13,35 to 44 years,M8,Mission Bay,October,2015.0,a,print,False,2012,False,5.0
4478,0,ADULT,117,12,35 to 44 years,N4,Noe Valley/Sally Brunn,July,2013.0,z,email,True,2010,False,8.0
4479,3,SENIOR,10,0,65 to 74 years,C2,Chinatown,December,2013.0,a,print,False,2013,False,3.0
4482,0,ADULT,32,0,45 to 54 years,M6,Mission,July,2016.0,p,phone,False,2003,False,6.0
4484,0,ADULT,1,0,20 to 24 years,E9,Excelsior,September,2013.0,z,email,True,2013,False,8.0
4485,3,SENIOR,68,177,65 to 74 years,G4,Glen Park,July,2016.0,z,email,True,2015,False,9.0
4487,0,ADULT,108,93,20 to 24 years,O7,Ortega,July,2015.0,z,email,True,2003,False,4.0
4488,0,ADULT,47,56,55 to 59 years,C2,Chinatown,February,2015.0,a,print,False,2003,False,3.0
4490,0,ADULT,13,0,25 to 34 years,W4,Western Addition,June,2014.0,z,email,True,2014,False,5.0
4491,0,ADULT,126,88,25 to 34 years,X,Main Library,February,2015.0,z,email,True,2009,False,6.0
4492,0,ADULT,12,6,25 to 34 years,X,Main Library,May,2015.0,z,email,True,2011,False,9.0
4493,0,ADULT,200,41,60 to 64 years,V3,Visitacion Valley,April,2016.0,p,phone,False,2003,False,7.0
4494,0,ADULT,555,82,20 to 24 years,C2,Chinatown,January,2015.0,z,email,True,2005,False,6.0
4496,0,ADULT,57,63,35 to 44 years,G4,Glen Park,May,2016.0,z,email,True,2009,False,7.0
4497,3,SENIOR,1,0,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,December,2013.0,z,email,True,2013,False,5.0
4499,3,SENIOR,1592,194,65 to 74 years,R3,Richmond,February,2016.0,z,email,True,2003,False,1.0
4500,0,ADULT,427,48,45 to 54 years,X,Main Library,July,2015.0,z,email,True,2011,False,9.0
4501,0,ADULT,2,0,55 to 59 years,M4,Merced,August,2015.0,z,email,True,2015,False,7.0
4502,0,ADULT,154,354,35 to 44 years,M8,Mission Bay,October,2015.0,z,email,True,2010,False,9.0
4503,0,ADULT,18,0,60 to 64 years,X,Main Library,December,2013.0,z,email,True,2008,False,6.0
4504,0,ADULT,3,0,45 to 54 years,C2,Chinatown,April,2013.0,a,print,False,2013,False,10.0
4506,3,SENIOR,351,366,65 to 74 years,X,Main Library,July,2016.0,a,print,False,2003,False,7.0
4507,0,ADULT,134,126,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016.0,z,email,True,2009,False,5.0
4508,0,ADULT,222,2,55 to 59 years,P5,Portola,July,2015.0,z,email,True,2006,False,7.0
4509,0,ADULT,21,22,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2009,False,5.0
4511,0,ADULT,124,157,35 to 44 years,P3,Parkside,July,2013.0,z,email,True,2005,False,4.0
4512,0,ADULT,9,0,20 to 24 years,P5,Portola,December,2015.0,z,email,True,2012,False,10.0
4513,0,ADULT,1952,1344,45 to 54 years,O7,Ortega,July,2016.0,z,email,True,2003,False,4.0
4514,0,ADULT,142,125,45 to 54 years,M6,Mission,July,2016.0,z,email,True,2012,False,10.0
4515,0,ADULT,72,62,35 to 44 years,A5,Anza,August,2014.0,z,email,True,2012,False,1.0
4517,0,ADULT,2,0,20 to 24 years,X,Main Library,July,2016.0,z,email,True,2015,False,7.0
